coordinates,date,hashtags,language,source,text,user
,2/15/2019 16:45,"[{'text': 'shampoo', 'indices': [12, 20]}, {'text': 'plastic', 'indices': [37, 45]}, {'text': 'landfill', 'indices': [63, 72]}, {'text': 'organic', 'indices': [91, 99]}, {'text': 'hemp', 'indices': [100, 105]}]",en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Using solid #shampoo bars helps keep #plastic bottles from the #landfill!
Our Vegan Purity #organic #hemp shampoo b… https://t.co/2yPlcJbYYr",Rawganiquecom
,2/15/2019 9:38,"[{'text': 'climatestrike', 'indices': [35, 49]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I salute all the young children on #climatestrike.Turtles ingesting plastic, mass deforestation, toxic air, warming… https://t.co/1jQYCr9emz",JuliaBradbury
,2/15/2019 17:11,"[{'text': 'DungBeetles', 'indices': [0, 12]}, {'text': 'imperiledinsects', 'indices': [29, 46]}, {'text': 'recycling', 'indices': [74, 84]}, {'text': 'nutrients', 'indices': [85, 95]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#DungBeetles, among the most #imperiledinsects, play an important role in #recycling #nutrients and processing… https://t.co/ZHivCNX7mT",sirajul
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AviFlyGirl: You will have animal populations dying off, because the insects they eat will be gone &amp; the plants they feed on will not re…",CarolynWither12
,2/15/2019 17:07,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCFoodProg: Palm oil 🌴 ~ blamed for wide scale deforestation, it’s in nearly 1/2 the products in our supermarkets: 🍕🍫🍦💄🍞
What’s the de…",abrowntable
,2/15/2019 17:06,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Jess_Panegyres: Look at this cutie! It's heartbreaking to think - our governments are systematically destroying their homes by allowing…,Adventuress117
,2/15/2019 17:05,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AmazonWatch: We're proud to support the California Deforestation-Free Procurement Act!

Industry-driven deforestation is ravaging tropi…",GoddessResists
,2/15/2019 17:00,[],en,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Rainforest monitoring systems to combat deforestation                                      
The hope is to identify… https://t.co/N62w3uXBHq",rickbouter
,2/15/2019 17:00,"[{'text': 'deforestation', 'indices': [56, 70]}, {'text': 'supplychains', 'indices': [74, 87]}, {'text': 'supplychain', 'indices': [99, 111]}]",en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","As of 2018, 473 companies globally committed to curbing #deforestation in #supplychains. EDF’s new #supplychain tra… https://t.co/6M2zrsbRP2",EDFbiz
,2/15/2019 16:56,"[{'text': 'climatestrike', 'indices': [54, 68]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @JuliaBradbury: I salute all the young children on #climatestrike.Turtles ingesting plastic, mass deforestation, toxic air, warming ocea…",f1rst_p3rson
